iter	Passed	Remaining
624	85538	10264
625	85707	10131
626	85811	9990
627	85949	9854
628	86102	9719
629	86273	9585
630	86406	9448
631	86572	9314
632	86713	9178
633	86856	9041
634	87079	8913
635	87215	8776
636	87358	8639
637	87494	8502
638	87609	8363
639	87749	8226
640	87874	8088
641	88013	7951
642	88175	7816
643	88329	7680
644	88559	7551
645	88700	7414
646	88872	7280
647	89030	7144
648	89150	7005
649	89274	6867
650	89431	6731
651	89546	6592
652	89685	6455
653	89869	6321
654	90060	6187
655	90199	6049
656	90348	5913
657	90455	5773
658	90551	5633
659	90725	5498
660	90869	5361
661	90975	5222
662	91089	5083
663	91245	4947
664	91402	4810
665	91502	4671
666	91673	4535
667	91843	4399
668	91995	4262
669	92156	4126
670	92300	3989
671	92429	3851
672	92577	3714
673	92772	3578
674	92948	3442
675	93089	3304
676	93236	3167
677	93376	3029
678	93509	2892
679	93686	2755
680	93795	2616
681	93940	2479
682	94141	2343
683	94340	2206
684	94438	2067
685	94611	1930
686	94746	1792
687	94935	1655
688	95125	1518
689	95246	1380
690	95407	1242
691	95521	1104
692	95686	966
693	95833	828
694	96006	690
695	96150	552
696	96263	414
697	96436	276
698	96606	138
699	96772	0
